Mon May 07 12:31:58 UTC 2018: Starting
Mon May 07 12:31:58 UTC 2018: Database:jdbc:mysql://localhost:3306/unittests_all
Mon May 07 12:32:04 UTC 2018: Queue filled without report
Mon May 07 12:32:05 UTC 2018: Working on repo

Mon May 07 12:32:05 UTC 2018: Reading project report
Mon May 07 12:32:05 UTC 2018: Reading project report done
Mon May 07 12:32:05 UTC 2018: Working on AxonFramework__AxonFramework

Mon May 07 12:32:05 UTC 2018: Reading project report
Mon May 07 12:32:22 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//AxonFramework__AxonFramework/ - org.axonframework.test.matchers - SequenceOfEventsMatcherTest
Mon May 07 12:32:35 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//AxonFramework__AxonFramework/ - org.axonframework.mongo - DefaultMongoTemplateTest
Mon May 07 12:32:49 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//AxonFramework__AxonFramework/ - org.axonframework.eventhandling.saga - SagaManagerTest
Mon May 07 12:33:13 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//AxonFramework__AxonFramework/ - org.axonframework.eventsourcing - EventSourcingRepositoryTest
Mon May 07 12:33:14 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//AxonFramework__AxonFramework/ - org.axonframework.eventsourcing - DomainEventStreamTest
Mon May 07 12:33:22 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//AxonFramework__AxonFramework/ - org.axonframework.eventsourcing.eventstore - EventStorageEngineTest
Mon May 07 12:33:24 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//AxonFramework__AxonFramework/ - org.axonframework.eventsourcing - NestedUnitOfWorkTest
Mon May 07 12:33:52 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//AxonFramework__AxonFramework/ - org.axonframework.common.lock - LockFactoryTest
Mon May 07 12:33:55 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//AxonFramework__AxonFramework/ - org.axonframework.common.property - PropertyAccessStrategyTest
Mon May 07 12:34:20 UTC 2018: Reading project report done
Mon May 07 12:34:21 UTC 2018: Adding test in queue
Mon May 07 12:34:21 UTC 2018: Adding test in queue
Mon May 07 12:34:21 UTC 2018: Adding test in queue
Mon May 07 12:34:21 UTC 2018: Adding test in queue
Mon May 07 12:34:21 UTC 2018: Adding test in queue
Mon May 07 12:34:21 UTC 2018: Adding test in queue
Mon May 07 12:34:21 UTC 2018: Adding test in queue
Mon May 07 12:34:21 UTC 2018: Adding test in queue
Mon May 07 12:34:21 UTC 2018: Adding test in queue
Mon May 07 12:34:21 UTC 2018: Adding test in queue
