Mon May 07 12:31:58 UTC 2018: Starting
Mon May 07 12:31:58 UTC 2018: Database:jdbc:mysql://localhost:3306/unittests_all
Mon May 07 12:32:05 UTC 2018: Queue filled without report
Mon May 07 12:32:05 UTC 2018: Working on vivekdixit25__vd-kc

Mon May 07 12:32:05 UTC 2018: Reading project report
Mon May 07 12:34:15 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//vivekdixit25__vd-kc/ - org.kuali.kra.keyvalue - ValuesFinderTestBase
Mon May 07 12:34:43 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//vivekdixit25__vd-kc/ - org.kuali.kra.lookup - PersonLookupableHelperServiceImplTest
Mon May 07 12:36:26 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//vivekdixit25__vd-kc/ - org.kuali.kra.award.home - AwardTest
Mon May 07 12:39:46 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//vivekdixit25__vd-kc/ - org.kuali.kra.irb.protocol.funding - ProtocolFundingSourceRuleTest
Mon May 07 12:42:36 UTC 2018: Reading project report done
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:36 UTC 2018: Adding test in queue
Mon May 07 12:42:37 UTC 2018: Adding test in queue
Mon May 07 12:42:37 UTC 2018: Adding test in queue
Mon May 07 12:42:37 UTC 2018: Adding test in queue
Mon May 07 12:42:37 UTC 2018: Adding test in queue
Mon May 07 12:42:37 UTC 2018: Adding test in queue
Mon May 07 12:42:37 UTC 2018: Adding test in queue
Mon May 07 12:42:37 UTC 2018: Adding test in queue
Mon May 07 12:42:37 UTC 2018: Adding test in queue
Mon May 07 12:42:37 UTC 2018: Adding test in queue
Mon May 07 12:42:37 UTC 2018: Adding test in queue
Mon May 07 12:42:37 UTC 2018: Adding test in queue
