Mon May 07 12:31:58 UTC 2018: Starting
Mon May 07 12:31:58 UTC 2018: Database:jdbc:mysql://localhost:3306/unittests_all
Mon May 07 12:32:04 UTC 2018: Queue filled without report
Mon May 07 12:32:05 UTC 2018: Working on queequegGuo__junit4

Mon May 07 12:32:05 UTC 2018: Reading project report
Mon May 07 12:32:23 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//queequegGuo__junit4/ - org.junit.runner.notification - RunNotifierTest
Mon May 07 12:32:27 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//queequegGuo__junit4/ - org.junit.tests.listening - ListenerTest
Mon May 07 12:32:32 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//queequegGuo__junit4/ - org.junit.tests.running.methods - TestMethodTest
Mon May 07 12:32:33 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//queequegGuo__junit4/ - org.junit.tests.junit3compatibility - ForwardCompatibilityTest
Mon May 07 12:32:42 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//queequegGuo__junit4/ - org.junit.tests.experimental.theories.runner - SuccessfulWithDataPointFields
Mon May 07 12:32:44 UTC 2018: Cannot find source root /home/laurence/storage/tech-projects//queequegGuo__junit4/ - org.junit.experimental.categories - CategoryTest
Mon May 07 12:32:51 UTC 2018: Reading project report done
Mon May 07 12:32:52 UTC 2018: Adding test in queue
Mon May 07 12:32:52 UTC 2018: Adding test in queue
Mon May 07 12:32:52 UTC 2018: Adding test in queue
Mon May 07 12:32:52 UTC 2018: Adding test in queue
Mon May 07 12:32:52 UTC 2018: Adding test in queue
Mon May 07 12:32:52 UTC 2018: Adding test in queue
Mon May 07 12:32:52 UTC 2018: Adding test in queue
Mon May 07 12:32:52 UTC 2018: Adding test in queue
Mon May 07 12:32:52 UTC 2018: Adding test in queue
Mon May 07 12:32:52 UTC 2018: Adding test in queue
Mon May 07 12:32:52 UTC 2018: Adding test in queue
Mon May 07 12:32:52 UTC 2018: Adding test in queue
