Projects with links
type	projects
AST	256
BYTE	711



Duplicate projects
type	count(*)
ALL	157



Links
project	type	link	amount
cloud-software-foundation__c5	AST	No link	2
cloud-software-foundation__c5	BYTE	No link	2
cloud-software-foundation__c5	AST	Link	13
cloud-software-foundation__c5	BYTE	Link	13
cloud-software-foundation__c5-replicator	AST	No link	143
cloud-software-foundation__c5-replicator	AST	Link	12
CloudingMx__chainbloc	AST	No link	1
CloudSlang__cloud-slan	AST	No link	919
CloudSlang__cloud-slan	BYTE	No link	877
CloudSlang__cloud-slan	AST	Link	143
CloudSlang__cloud-slan	BYTE	Link	185
CloudSlang__cs-actions	AST	No link	560
CloudSlang__cs-actions	BYTE	No link	422
CloudSlang__cs-actions	AST	Link	339
CloudSlang__cs-actions	BYTE	Link	477
clun__ff4j	AST	No link	515
clun__ff4j	AST	Link	114
CMCC-CMSOFT__CMH-HBase	BYTE	Link	6
cminhtruong__crm	AST	No link	8
cminhtruong__crm	BYTE	No link	6
cminhtruong__crm	BYTE	Link	2
CMSgov__qpp-conversion-tool	AST	No link	563
CMSgov__qpp-conversion-tool	AST	Link	198
coco11563__nifi-1.4.0	AST	No link	113
coco11563__nifi-1.4.0	AST	Link	10
cod3rs-ns__4-sct-pillow-service	AST	No link	200
cod3rs-ns__4-sct-pillow-service	BYTE	No link	200
cod3rs-ns__4-sct-pillow-service	AST	Link	31
cod3rs-ns__4-sct-pillow-service	BYTE	Link	31
code-squad__java-practice	AST	No link	4
code-squad__java-practice	BYTE	No link	4
code-squad__java-practice	AST	Link	1
code-squad__java-practice	BYTE	Link	1
codeclou__java-junit-xml-merger	AST	No link	3
codeclou__java-junit-xml-merger	BYTE	No link	3
codeclou__java-junit-xml-merger	AST	Link	1
codeclou__java-junit-xml-merger	BYTE	Link	1
CodecoolBP20161__advanced-module-eshipdiary-web	AST	No link	3
CodecoolBP20161__advanced-module-eshipdiary-web	BYTE	No link	3
codehaus__multiverse	AST	No link	138
codehaus__multiverse	BYTE	No link	97
codehaus__multiverse	AST	Link	24
codehaus__multiverse	BYTE	Link	65
codehaus__waffle	AST	No link	176
codehaus__waffle	BYTE	No link	121
codehaus__waffle	AST	Link	31
codehaus__waffle	BYTE	Link	86
CodeStory__code-story-plannin	AST	No link	19
CodeStory__code-story-plannin	BYTE	No link	19
CodeStory__code-story-plannin	AST	Link	8
CodeStory__code-story-plannin	BYTE	Link	8
Coding__WebIDE-Backend	AST	No link	36
Coding__WebIDE-Backend	BYTE	No link	36
Coding__WebIDE-Backend	AST	Link	84
Coding__WebIDE-Backend	BYTE	Link	84
Cognifide__knotx	AST	No link	81
Cognifide__knotx	AST	Link	18
Comcast__redirector	AST	No link	293
Comcast__redirector	AST	Link	166
commaweed__unit-test-sample	AST	No link	5
commaweed__unit-test-sample	BYTE	No link	5
commercetools__commercetools-jvm-sdk	AST	No link	441
commercetools__commercetools-jvm-sdk	AST	Link	87
CompileThemAgain__zeppelin	AST	No link	35
CompileThemAgain__zeppelin	BYTE	No link	142
CompileThemAgain__zeppelin	AST	Link	4
CompileThemAgain__zeppelin	BYTE	Link	20
conanlm426__cucumber-reportin	AST	No link	82
conanlm426__cucumber-reportin	BYTE	No link	64
conanlm426__cucumber-reportin	AST	Link	127
conanlm426__cucumber-reportin	BYTE	Link	145
conanlm426__jline2	AST	No link	116
conanlm426__jline2	BYTE	No link	102
conanlm426__jline2	AST	Link	19
conanlm426__jline2	BYTE	Link	33
congpeixin__ApacheHBase	AST	No link	55
congpeixin__ApacheHBase	BYTE	No link	154
congpeixin__ApacheHBase	AST	Link	17
congpeixin__ApacheHBase	BYTE	Link	49
Consonance__consonance	AST	No link	6
Consonance__consonance	BYTE	No link	6
Consonance__consonance	AST	Link	4
Consonance__consonance	BYTE	Link	4
conversant__mara	AST	No link	33
conversant__mara	BYTE	No link	32
conversant__mara	AST	Link	4
conversant__mara	BYTE	Link	5
conwetlab__Repository-RI	AST	No link	104
conwetlab__Repository-RI	BYTE	No link	100
conwetlab__Repository-RI	AST	Link	113
conwetlab__Repository-RI	BYTE	Link	117
coolarch__whaleun	AST	No link	58
coolarch__whaleun	BYTE	No link	55
coolarch__whaleun	AST	Link	30
coolarch__whaleun	BYTE	Link	33
Cougy__Secre	AST	No link	22
Cougy__Secre	BYTE	No link	19
Cougy__Secre	AST	Link	8
Cougy__Secre	BYTE	Link	11
cozej4__opensrp-boresha-afya	AST	No link	403
cozej4__opensrp-boresha-afya	BYTE	No link	374
cozej4__opensrp-boresha-afya	AST	Link	126
cozej4__opensrp-boresha-afya	BYTE	Link	155
CptMedo__computer-database	AST	No link	2
CptMedo__computer-database	BYTE	No link	2
cralcubo__pimped-radio	AST	No link	80
cralcubo__pimped-radio	BYTE	No link	80
cralcubo__pimped-radio	AST	Link	16
cralcubo__pimped-radio	BYTE	Link	16
CrazySabri__jersey	AST	No link	351
CrazySabri__jersey	AST	Link	67
cristianrgreco__youtube-downloader	AST	No link	12
cristianrgreco__youtube-downloader	BYTE	No link	12
cristianrgreco__youtube-downloader	AST	Link	8
cristianrgreco__youtube-downloader	BYTE	Link	8
cttestid41__Apache_ActiveMQ	AST	No link	1278
cttestid41__Apache_ActiveMQ	BYTE	No link	945
cttestid41__Apache_ActiveMQ	AST	Link	147
cttestid41__Apache_ActiveMQ	BYTE	Link	192
cttestid41__Apache_Ambar	AST	No link	88
cttestid41__Apache_Ambar	BYTE	No link	73
cttestid41__Apache_Ambar	AST	Link	17
cttestid41__Apache_Ambar	BYTE	Link	26
cttestid41__Apache_Cloudstack	AST	No link	131
cttestid41__Apache_Cloudstack	BYTE	No link	290
cttestid41__Apache_Cloudstack	AST	Link	63
cttestid41__Apache_Cloudstack	BYTE	Link	228
cttestid41__Apache_Flink	AST	No link	1114
cttestid41__Apache_Flink	BYTE	No link	1097
cttestid41__Apache_Flink	AST	Link	133
cttestid41__Apache_Flink	BYTE	Link	163
cttestid41__Apache_Hbase	AST	Link	1
cttestid41__Apache_Hbase	BYTE	Link	1
cttestid41__Apache_nif	AST	No link	44
cttestid41__Apache_Zeppelin	AST	No link	4
cttestid41__Apache_Zeppelin	BYTE	No link	78
cttestid41__Apache_Zeppelin	BYTE	Link	3
cunvoas__business-validation	AST	No link	20
cunvoas__business-validation	BYTE	No link	20
cunvoas__business-validation	AST	Link	6
cunvoas__business-validation	BYTE	Link	6
curator__jnuge	AST	No link	98
curator__jnuge	BYTE	No link	84
curator__jnuge	AST	Link	44
curator__jnuge	BYTE	Link	58
customertimes__easyrec-PoC	AST	No link	33
customertimes__easyrec-PoC	BYTE	No link	23
customertimes__easyrec-PoC	AST	Link	33
customertimes__easyrec-PoC	BYTE	Link	43
cw0827__nif	AST	No link	23
cw0827__nif	AST	Link	14
CX-Checkout__fczw01	AST	No link	29
CX-Checkout__fczw01	BYTE	No link	29
CX-Checkout__ftyc01	AST	Link	1
CX-Checkout__ftyc01	BYTE	Link	1
CX-Checkout__gpgc01	AST	Link	2
CX-Checkout__gpgc01	BYTE	Link	2
CX-Checkout__idjq01	AST	No link	26
CX-Checkout__idjq01	BYTE	No link	26
CX-Checkout__jjxc01	AST	No link	1
CX-Checkout__jjxc01	BYTE	No link	1
CX-Checkout__jjxc01	AST	Link	20
CX-Checkout__jjxc01	BYTE	Link	20
CX-Checkout__mdae02	AST	No link	7
CX-Checkout__mdae02	BYTE	No link	6
CX-Checkout__mdae02	AST	Link	2
CX-Checkout__mdae02	BYTE	Link	3
CX-Checkout__mmxl01	AST	No link	1
CX-Checkout__mmxl01	BYTE	No link	1
CX-Checkout__mmxl01	AST	Link	13
CX-Checkout__mmxl01	BYTE	Link	13
CX-Checkout__nrsf01	AST	No link	48
CX-Checkout__nrsf01	BYTE	No link	39
CX-Checkout__nrsf01	AST	Link	19
CX-Checkout__nrsf01	BYTE	Link	28
CX-Checkout__tntd01	AST	Link	58
CX-Checkout__umvq01	AST	No link	11
CX-Checkout__umvq01	BYTE	No link	11
CX-Checkout__vtcw01	AST	No link	21
CX-Checkout__vtcw01	BYTE	No link	21
CX-Checkout__vtcw01	AST	Link	5
CX-Checkout__vtcw01	BYTE	Link	5
CX-Checkout__wdbv01	AST	No link	22
CX-Checkout__wdbv01	BYTE	No link	22
CX-Checkout__wlvg01	AST	No link	13
CX-Checkout__wlvg01	BYTE	No link	13
CX-Checkout__ykzs01	AST	No link	11
CX-FizzDeluxe__eset01	AST	No link	22
CX-FizzDeluxe__eset01	BYTE	No link	19
CX-FizzDeluxe__eset01	AST	Link	1
CX-FizzDeluxe__eset01	BYTE	Link	4
CX-FizzDeluxe__itqb01	AST	No link	9
CX-FizzDeluxe__itqb01	BYTE	No link	9
CX-FizzDeluxe__itqb01	AST	Link	2
CX-FizzDeluxe__itqb01	BYTE	Link	2
CX-FizzDeluxe__ptr01	AST	No link	1
CX-FizzDeluxe__ptr01	BYTE	No link	1
CX-FizzDeluxe__ptr01	AST	Link	1
CX-FizzDeluxe__ptr01	BYTE	Link	1
cybermatatu__cipango	AST	No link	2
cybermatatu__cipango	BYTE	No link	75
cybermatatu__cipango	BYTE	Link	12
cyzzo__czo	BYTE	No link	2
dadrus__jpa-un	AST	No link	122
dadrus__jpa-un	AST	Link	30
daidong__DominoHBase	AST	No link	11
daidong__DominoHBase	BYTE	No link	16
daidong__DominoHBase	AST	Link	7
daidong__DominoHBase	BYTE	Link	9
damianszczepanik__cucumber-reportin	AST	No link	66
damianszczepanik__cucumber-reportin	BYTE	No link	35
damianszczepanik__cucumber-reportin	AST	Link	53
damianszczepanik__cucumber-reportin	BYTE	Link	76
dana-i2cat__mqnaas	AST	No link	14
dana-i2cat__mqnaas	BYTE	No link	14
dana-i2cat__opennaas	AST	No link	3
dana-i2cat__opennaas	BYTE	No link	3
dandelion__dandelion	AST	No link	170
dandelion__dandelion	BYTE	No link	170
dandelion__dandelion	AST	Link	1
dandelion__dandelion	BYTE	Link	1
DanielLuis__RestTemplateSprin	AST	No link	4
DanielLuis__RestTemplateSprin	BYTE	No link	4
DanielLuis__RestTemplateSprin	AST	Link	9
DanielLuis__RestTemplateSprin	BYTE	Link	9
danielramosbh74__google-sites-liberation	BYTE	No link	32
danielramosbh74__google-sites-liberation	BYTE	Link	7
danielsemedo__myshuttleJAVA	AST	No link	4
danielsemedo__myshuttleJAVA	BYTE	No link	4
dannydjj__yes-car	BYTE	No link	68
dannydjj__yes-car	BYTE	Link	151
daoway__yes-car	BYTE	No link	9
daoway__yes-car	BYTE	Link	1
datasift__dropwizard-extra	AST	No link	105
datasift__dropwizard-extra	BYTE	No link	60
datasift__dropwizard-extra	AST	Link	12
datasift__dropwizard-extra	BYTE	Link	57
DavidAlphaFox__netty	AST	No link	6
DavidAlphaFox__netty	BYTE	No link	33
DavidAlphaFox__netty	AST	Link	1
DavidAlphaFox__netty	BYTE	Link	67
davidedr__james-tes	AST	No link	1846
davidedr__james-tes	AST	Link	1414
Davidunir__jenkinss	AST	No link	15
Davidunir__jenkinss	BYTE	No link	206
Davidunir__jenkinss	AST	Link	9
Davidunir__jenkinss	BYTE	Link	72
DavidWhitlock__PortlandStateJava	AST	No link	295
DavidWhitlock__PortlandStateJava	BYTE	No link	294
DavidWhitlock__PortlandStateJava	AST	Link	24
DavidWhitlock__PortlandStateJava	BYTE	Link	25
dCache__dcache	AST	No link	765
dCache__dcache	BYTE	No link	720
dCache__dcache	AST	Link	47
dCache__dcache	BYTE	Link	92
dcm4che__dcm4chee-arc-cd	AST	No link	2
dcm4che__dcm4chee-arc-cd	BYTE	No link	2
ddraj__hbase-mttr	AST	No link	2
ddraj__hbase-mttr	BYTE	No link	2
deepak-batra__secor-protobuf	AST	No link	3
deepak-batra__secor-protobuf	BYTE	No link	65
deepak-batra__secor-protobuf	BYTE	Link	8
dennisTS__twitterage	AST	No link	17
dennisTS__twitterage	BYTE	No link	15
dennisTS__twitterage	BYTE	Link	2
derekhiggins__ovirt-engine	AST	No link	165
derekhiggins__ovirt-engine	BYTE	No link	162
derekhiggins__ovirt-engine	AST	Link	19
derekhiggins__ovirt-engine	BYTE	Link	25
derz0st__Railway	AST	No link	26
derz0st__Railway	AST	Link	5
derz0st__Railway	BYTE	Link	31
devnied__EMV-NFC-Paycard-Enrollmen	AST	No link	35
devnied__EMV-NFC-Paycard-Enrollmen	BYTE	No link	35
devnied__EMV-NFC-Paycard-Enrollmen	AST	Link	5
devnied__EMV-NFC-Paycard-Enrollmen	BYTE	Link	5
devopszone__openmrs-core	AST	No link	194
devopszone__openmrs-core	BYTE	No link	2741
devopszone__openmrs-core	AST	Link	126
devopszone__openmrs-core	BYTE	Link	405
dfj__wildfly-jmx-console	AST	No link	2026
dfj__wildfly-jmx-console	BYTE	No link	1877
dfj__wildfly-jmx-console	AST	Link	128
dfj__wildfly-jmx-console	BYTE	Link	277
Dhandapani__gluster-ovir	AST	No link	6
Dhandapani__gluster-ovir	BYTE	No link	6
Dhandapani__gluster-ovir	AST	Link	1
Dhandapani__gluster-ovir	BYTE	Link	1
dhanuka84__flink	AST	No link	608
dhanuka84__flink	BYTE	No link	557
dhanuka84__flink	AST	Link	85
dhanuka84__flink	BYTE	Link	130
dharmendraQA__demo	AST	No link	33
dharmendraQA__demo	BYTE	No link	76
dharmendraQA__demo	AST	Link	3
dharmendraQA__demo	BYTE	Link	9
dhemery__victor	AST	No link	24
dhemery__victor	BYTE	No link	8
dhemery__victor	AST	Link	4
dhemery__victor	BYTE	Link	20
dherges__aem-sling-contrib	AST	No link	8
dherges__aem-sling-contrib	BYTE	No link	8
dherges__aem-sling-contrib	AST	Link	7
dherges__aem-sling-contrib	BYTE	Link	7
dhutcheon__Anagrams	AST	No link	19
dhutcheon__Anagrams	BYTE	No link	18
dhutcheon__Anagrams	AST	Link	10
dhutcheon__Anagrams	BYTE	Link	11
digat__jxta-jxse-svn	AST	No link	1
dimalabs__stratosphere-iterations	AST	No link	75
dimalabs__stratosphere-iterations	BYTE	No link	120
dimalabs__stratosphere-iterations	AST	Link	44
dimalabs__stratosphere-iterations	BYTE	Link	44
DinaAbouelella__Checklis	AST	No link	268
DinaAbouelella__Checklis	BYTE	No link	297
DinaAbouelella__Checklis	AST	Link	16
DinaAbouelella__Checklis	BYTE	Link	15
disassemble-io__asm-framework-full	AST	No link	2
disassemble-io__asm-framework-full	BYTE	No link	2
DIVERSIFY-project__disco	AST	No link	128
DIVERSIFY-project__disco	BYTE	No link	128
do3meli__Labyrinth	AST	No link	14
do3meli__Labyrinth	BYTE	No link	14
do3meli__Labyrinth	AST	Link	39
do3meli__Labyrinth	BYTE	Link	39
doctor-q__alluxio-zh	AST	No link	1099
doctor-q__alluxio-zh	BYTE	No link	1236
doctor-q__alluxio-zh	AST	Link	283
doctor-q__alluxio-zh	BYTE	Link	430
DongPoSu__Shiro	AST	No link	62
DongPoSu__Shiro	BYTE	No link	61
DongPoSu__Shiro	AST	Link	25
DongPoSu__Shiro	BYTE	Link	26
doriandarren__sbadmin	AST	No link	1
doriandarren__sbadmin	BYTE	No link	1
doriandarren__sbadmin	AST	Link	1
doriandarren__sbadmin	BYTE	Link	1
drachimera__persistent_store	AST	No link	1
drachimera__persistent_store	BYTE	No link	1
draeger-lab__EscherConverter	AST	No link	14
draeger-lab__EscherConverter	BYTE	No link	13
draeger-lab__EscherConverter	AST	Link	1
draeger-lab__EscherConverter	BYTE	Link	2
dreameddeath__couchbase-testin	AST	No link	70
dreameddeath__couchbase-testin	AST	Link	10
drewpope__hbase	AST	No link	1
drewpope__hbase	BYTE	No link	1
druid-io__druid	AST	No link	938
druid-io__druid	AST	Link	205
DrunkDutch__comp-354	AST	No link	14
DrunkDutch__comp-354	BYTE	No link	14
DrunkDutch__comp-354	AST	Link	2
DrunkDutch__comp-354	BYTE	Link	2
dukechain__ConfinedRecovery	AST	No link	524
dukechain__ConfinedRecovery	BYTE	No link	514
dukechain__ConfinedRecovery	AST	Link	115
dukechain__ConfinedRecovery	BYTE	Link	144
dumptruckman__PluginBase	AST	No link	66
dumptruckman__PluginBase	BYTE	No link	66
dumptruckman__PluginBase	AST	Link	42
dumptruckman__PluginBase	BYTE	Link	42
duzifang__my-jenkins	AST	No link	19
duzifang__my-jenkins	BYTE	No link	40
duzifang__my-jenkins	AST	Link	8
duzifang__my-jenkins	BYTE	Link	21
dxmz__daxiongtes	AST	No link	26
dxmz__daxiongtes	BYTE	No link	45
eagletjai__openmrs-pgh-190	AST	No link	307
eagletjai__openmrs-pgh-190	BYTE	No link	492
eagletjai__openmrs-pgh-190	AST	Link	381
eagletjai__openmrs-pgh-190	BYTE	Link	229
eBay__ServiceCOLDCache	AST	No link	30
eBay__ServiceCOLDCache	BYTE	No link	25
eBay__ServiceCOLDCache	AST	Link	36
eBay__ServiceCOLDCache	BYTE	Link	41
eclipse__che	AST	No link	16
edgar615__javase-study	AST	No link	59
edgar615__javase-study	BYTE	No link	59
edgar615__javase-study	AST	Link	1
edgar615__javase-study	BYTE	Link	1
edisonmade__mp5	AST	No link	30
edisonmade__mp5	BYTE	No link	60
edisonmade__mp5	BYTE	Link	8
EdisonXu__Tes	AST	No link	1
EdisonXu__Tes	BYTE	Link	1
EduShareOntario__liquibase	AST	No link	18
EduShareOntario__liquibase	BYTE	No link	179
EduShareOntario__liquibase	AST	Link	57
EduShareOntario__liquibase	BYTE	Link	239
edwardcojocaru__kfk-dome	AST	No link	1
edwardcojocaru__kfk-dome	BYTE	No link	1
edwardcojocaru__kfk-dome	AST	Link	3
edwardcojocaru__kfk-dome	BYTE	Link	3
eep60b__etlexamples	AST	No link	146
eep60b__etlexamples	BYTE	No link	106
eep60b__etlexamples	AST	Link	326
eep60b__etlexamples	BYTE	Link	366
efundi__efund	AST	No link	721
efundi__efund	AST	Link	149
emag-notes__codereading-wildfly	AST	No link	26
emag-notes__codereading-wildfly	BYTE	No link	24
emag-notes__codereading-wildfly	AST	Link	11
emag-notes__codereading-wildfly	BYTE	Link	13
EngineHub__CommandHelper	AST	No link	504
EngineHub__CommandHelper	BYTE	No link	502
EngineHub__CommandHelper	AST	Link	62
EngineHub__CommandHelper	BYTE	Link	64
enis__hbase-sal	AST	No link	637
enis__hbase-sal	AST	Link	54
epabst__sonar-plugins	AST	No link	493
epabst__sonar-plugins	BYTE	No link	484
epabst__sonar-plugins	AST	Link	181
epabst__sonar-plugins	BYTE	Link	190
epere4__j-oto	AST	No link	9
epere4__j-oto	BYTE	No link	9
epere4__j-oto	AST	Link	9
epere4__j-oto	BYTE	Link	9
eran505__EvoProj	AST	No link	748
eran505__EvoProj	BYTE	No link	757
eran505__EvoProj	AST	Link	55
eran505__EvoProj	BYTE	Link	46
erichnsn__NiF	AST	No link	281
erichnsn__NiF	AST	Link	93
EriclLee__ActiveMQ-On-Azure	AST	No link	1
EriclLee__ActiveMQ-On-Azure	BYTE	No link	2
EriclLee__ActiveMQ-On-Azure	BYTE	Link	1
erwinvaneyk__alitheia-coursework	AST	No link	24
erwinvaneyk__alitheia-coursework	BYTE	No link	12
erwinvaneyk__alitheia-coursework	AST	Link	23
erwinvaneyk__alitheia-coursework	BYTE	Link	35
erwinvaneyk__distributedrm	AST	No link	6
erwinvaneyk__distributedrm	BYTE	No link	5
erwinvaneyk__distributedrm	BYTE	Link	1
ESAPI__esapi-java-legacy	AST	No link	65
ESAPI__esapi-java-legacy	BYTE	No link	52
ESAPI__esapi-java-legacy	AST	Link	9
ESAPI__esapi-java-legacy	BYTE	Link	22
etonC__Cloudstack	AST	No link	34
etonC__Cloudstack	BYTE	No link	34
etonC__Cloudstack	AST	Link	3
etonC__Cloudstack	BYTE	Link	2
etonC__cloudstack4.7	AST	No link	8
etonC__cloudstack4.7	BYTE	No link	8
etonC__cloudstack4.7	AST	Link	5
etonC__cloudstack4.7	BYTE	Link	6
euclidian__bidan-server	AST	No link	469
euclidian__bidan-server	BYTE	No link	444
euclidian__bidan-server	AST	Link	29
euclidian__bidan-server	BYTE	Link	54
eungju__tokyotyrant-java	AST	No link	122
eungju__tokyotyrant-java	BYTE	No link	95
eungju__tokyotyrant-java	AST	Link	46
eungju__tokyotyrant-java	BYTE	Link	73
eungju__undercover	AST	No link	86
eungju__undercover	BYTE	No link	85
eungju__undercover	AST	Link	53
eungju__undercover	BYTE	Link	54
europeana__Europeana-Cloud	AST	No link	789
europeana__Europeana-Cloud	BYTE	No link	767
europeana__Europeana-Cloud	AST	Link	234
europeana__Europeana-Cloud	BYTE	Link	256
europeana__uim-core	AST	No link	16
europeana__uim-core	BYTE	No link	16
europeana__uim-core	AST	Link	6
europeana__uim-core	BYTE	Link	6
evgart__mock	AST	No link	13
evgart__mock	BYTE	No link	13
evgart__mock	AST	Link	2
evgart__mock	BYTE	Link	2
EvoSuite__evosuite	AST	No link	68
EvoSuite__evosuite	BYTE	No link	63
EvoSuite__evosuite	AST	Link	9
EvoSuite__evosuite	BYTE	Link	42
exevvv__alluxion-jolin	AST	No link	697
exevvv__alluxion-jolin	BYTE	No link	724
exevvv__alluxion-jolin	AST	Link	207
exevvv__alluxion-jolin	BYTE	Link	277
exoplatform__commons	AST	No link	11
exoplatform__commons	BYTE	No link	7
exoplatform__commons	AST	Link	2
exoplatform__commons	BYTE	Link	6
exoplatform__gatein-portal	AST	No link	3
exoplatform__gatein-portal	BYTE	No link	2
exoplatform__gatein-portal	BYTE	Link	1
exoplatform__integration	AST	No link	2
exoplatform__integration	BYTE	No link	2
exoplatform__integration	AST	Link	1
exoplatform__integration	BYTE	Link	1
ezekielmogaka__openmrs-core	AST	No link	110
ezekielmogaka__openmrs-core	BYTE	No link	384
ezekielmogaka__openmrs-core	BYTE	Link	236
Eztlinho__TestingLesson	AST	No link	11
Eztlinho__TestingLesson	BYTE	No link	3
Eztlinho__TestingLesson	BYTE	Link	8
f-agu__fmv	AST	No link	129
f-agu__fmv	AST	Link	83
FasterXML__jackson-databind	AST	No link	22
FasterXML__jackson-databind	BYTE	No link	22
Fastjur__SEM-Projec	AST	No link	3
Fastjur__SEM-Projec	BYTE	No link	3
Fastjur__SEM-Projec	AST	Link	5
Fastjur__SEM-Projec	BYTE	Link	5
fchenxi__hbase-1.3.0	AST	No link	2
fchenxi__hbase-1.3.0	BYTE	No link	19
fchenxi__hbase-1.3.0	BYTE	Link	5
fcrepo3__fcrepo	AST	No link	198
fcrepo3__fcrepo	BYTE	No link	196
fcrepo3__fcrepo	AST	Link	71
fcrepo3__fcrepo	BYTE	Link	73
fcrepo4-exts__fcrepo-camel	AST	No link	75
fcrepo4-exts__fcrepo-camel	BYTE	No link	75
fcrepo4-exts__fcrepo-camel	AST	Link	5
fcrepo4-exts__fcrepo-camel	BYTE	Link	5
fcrepo4-exts__fcrepo-camel-toolbox	AST	No link	50
felixalbani__nif	BYTE	No link	110
felixalbani__nif	BYTE	Link	19
fendroid__jenkinsfe	AST	No link	26
fendroid__jenkinsfe	BYTE	No link	44
fendroid__jenkinsfe	BYTE	Link	3
fernaspiazu__recruiting-old-style	AST	No link	34
fernaspiazu__recruiting-old-style	BYTE	No link	14
fernaspiazu__recruiting-old-style	AST	Link	2
fernaspiazu__recruiting-old-style	BYTE	Link	22
ferrarimarco__isssr	AST	No link	2
ffmmqiang__shiro	AST	No link	148
ffmmqiang__shiro	BYTE	No link	127
ffmmqiang__shiro	AST	Link	54
ffmmqiang__shiro	BYTE	Link	75
fisk__fisked	AST	No link	3
fisk__fisked	BYTE	No link	3
FlakyTestDetection__assertj-core	AST	No link	7778
FlakyTestDetection__assertj-core	BYTE	No link	7138
FlakyTestDetection__assertj-core	AST	Link	262
FlakyTestDetection__assertj-core	BYTE	Link	434
FlakyTestDetection__handlebars-java	AST	No link	583
FlakyTestDetection__handlebars-java	BYTE	No link	563
FlakyTestDetection__handlebars-java	AST	Link	43
FlakyTestDetection__handlebars-java	BYTE	Link	63
FlakyTestDetection__jun	AST	No link	23
FlakyTestDetection__jun	BYTE	No link	47
FlakyTestDetection__jun	BYTE	Link	12
flipkart-incubator__Poseidon	AST	No link	40
flipkart-incubator__Poseidon	AST	Link	36
flowable__flowable-engine	AST	No link	438
flowable__flowable-engine	AST	Link	1
FlowCI__flow-platform	AST	No link	94
FlowCI__flow-platform	AST	Link	6
flow__reac	AST	No link	5
floydodev__ChatApp	AST	No link	30
floydodev__ChatApp	BYTE	No link	4
floydodev__ChatApp	AST	Link	7
floydodev__ChatApp	BYTE	Link	33
fluency03__flink	AST	No link	499
fluency03__flink	BYTE	No link	577
fluency03__flink	AST	Link	60
fluency03__flink	BYTE	Link	118
flyingandrunning__hbase	BYTE	No link	17
flyingandrunning__hbase	BYTE	Link	11
fmendezh__checklistbank	AST	No link	21
fmendezh__checklistbank	BYTE	No link	18
fmendezh__checklistbank	AST	Link	14
fmendezh__checklistbank	BYTE	Link	17
fogbeam__zeppelin_mirror	AST	No link	1
fogbeam__zeppelin_mirror	BYTE	No link	92
fogbeam__zeppelin_mirror	AST	Link	1
fogbeam__zeppelin_mirror	BYTE	Link	14
folio-org__mod-inventory	AST	No link	17
folio-org__mod-inventory	AST	Link	4
ForgeRock__openam-community-edition	AST	No link	8
francisliu__hbase_namespace	AST	No link	5
francisliu__hbase_namespace	BYTE	No link	43
francisliu__hbase_namespace	AST	Link	1
francisliu__hbase_namespace	BYTE	Link	9
frawla__NBR	AST	No link	4
frawla__NBR	BYTE	No link	2
frawla__NBR	AST	Link	2
frawla__NBR	BYTE	Link	4
ftomassetti__turin-programming-language	AST	No link	44
ftomassetti__turin-programming-language	BYTE	No link	44
ftomassetti__turin-programming-language	AST	Link	3
ftomassetti__turin-programming-language	BYTE	Link	3
ga4gh__dockstore	AST	No link	2
ga4gh__dockstore	BYTE	No link	1
ga4gh__dockstore	AST	Link	4
ga4gh__dockstore	BYTE	Link	5
gallito1994__ApiEmail	AST	No link	24
gaogf__flink	AST	No link	209
gaogf__flink	BYTE	No link	215
gaogf__flink	AST	Link	7
gaogf__flink	BYTE	Link	63
gaoyike__flink_local	AST	No link	218
gaoyike__flink_local	BYTE	No link	1626
gaoyike__flink_local	AST	Link	20
gaoyike__flink_local	BYTE	Link	409
gauravkumaraccolite__AU2016	AST	No link	20
gauravkumaraccolite__AU2016	BYTE	No link	18
gauravkumaraccolite__AU2016	AST	Link	3
gauravkumaraccolite__AU2016	BYTE	Link	9
gautamaino__gwteventservice	AST	No link	288
gautamaino__gwteventservice	BYTE	No link	156
gautamaino__gwteventservice	AST	Link	69
gautamaino__gwteventservice	BYTE	Link	201
gautammadaan__EmergencySNRes	AST	No link	16
gautammadaan__EmergencySNRes	BYTE	No link	11
gautammadaan__EmergencySNRes	AST	Link	9
gautammadaan__EmergencySNRes	BYTE	Link	14
gazbert__bxbo	AST	No link	420
gazbert__bxbo	BYTE	No link	399
gazbert__bxbo	AST	Link	74
gazbert__bxbo	BYTE	Link	95
gbif__checklistbank	AST	No link	32
gbif__checklistbank	BYTE	No link	27
gbif__checklistbank	AST	Link	14
gbif__checklistbank	BYTE	Link	19
gbif__occurrence	AST	No link	274
gbif__occurrence	BYTE	No link	259
gbif__occurrence	AST	Link	36
gbif__occurrence	BYTE	Link	51
gbif__registry	AST	No link	86
gbif__registry	AST	Link	31
Geek-Union__java-learn	AST	No link	5
Geek-Union__java-learn	BYTE	No link	5
geekydevjohn__webappdev	AST	No link	8
geekydevjohn__webappdev	BYTE	No link	8
getgauge__gauge-java	AST	No link	19
getgauge__gauge-java	BYTE	No link	18
getgauge__gauge-java	AST	Link	20
getgauge__gauge-java	BYTE	Link	21
gigliovale__jenkins	AST	No link	33
gigliovale__jenkins	BYTE	No link	50
girinoboy__lojacasamento	AST	No link	22
girinoboy__lojacasamento	BYTE	No link	22
girinoboy__lojacasamento	AST	Link	78
girinoboy__lojacasamento	BYTE	Link	79
gitaccountforprashant__gittes	AST	No link	14
